name,street,city,state,zip,neighborhood,community_district,accepts_ebt,type,subtype,bread,bread_whole_wheat,dairy,dairy_low_fat,fish_fresh,fish_sustainably_caught,fresh_produce,fruit,greens,health_natural,herbs,juices_natural,local_food,meat_deli,meat_free_range,meat_low_fat,meat_packaged,organics,prepared_food,star_bodega,vegetables,other,surveyor,added,surveyed,latitude,longitude
396 Park Slope Deli Grocery,396 7th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,False,False,True,True,False,,False,False,False,False,False,False,,True,False,False,False,False,False,,False,,Jeff Heehs,2010-07-20 13:17:10,2010-07-20 00:00:00,40.6648956,-73.9832759
La Dolce Vita,423 7th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,True,True,True,True,False,,True,True,False,False,False,True,,True,False,False,True,True,False,,True,,Jeff Heehs,2010-07-20 13:19:28,2010-07-20 00:00:00,40.663668,-73.983932
Royal Deli,1501 8th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,False,False,True,True,False,,False,False,False,False,False,False,,True,False,False,True,False,False,,False,,Jeff Heehs,2010-07-20 13:21:48,2010-07-20 00:00:00,40.6621281,-73.9822196
Nida's Royal Supermarket,1419 8th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,False,False,True,True,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,,Jeff Heehs,2010-07-20 13:22:45,2010-07-20 00:00:00,40.6622259,-73.981912
12th St. Market,1201 8th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,True,True,True,True,False,,True,True,True,False,True,True,,True,False,False,True,True,True,,True,,Jeff Heehs,2010-07-20 13:23:44,2010-07-20 00:00:00,40.663716,-73.980562
Junior's Deli,1102 8th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,False,False,True,True,False,,False,False,False,False,False,False,,True,False,False,False,False,False,,False,,Jeff Heehs,2010-07-20 13:24:33,2010-07-20 00:00:00,40.6644803,-73.9803048
11th St. Deli Market,1021 8th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,False,False,True,True,False,,False,False,False,False,False,False,,True,False,False,False,False,False,,False,,Jeff Heehs,2010-07-20 13:25:13,2010-07-20 00:00:00,40.664516,-73.979884
CVS,341 9th St,Brooklyn,NY,11215,Park Slope,6,,small,convenience store,False,False,True,True,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,,Jeff Heehs,2010-07-20 13:28:39,2010-07-14 00:00:00,40.6687166,-73.9849586
H&D Deli Grocery,463 4th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,True,True,True,True,False,,False,False,False,False,False,False,,True,False,False,True,False,False,,False,,Jeff Heehs,2010-07-20 13:29:48,2010-07-14 00:00:00,40.6693013,-73.9894447
Gourmet Food Market,467 4th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,True,True,True,True,False,,False,False,False,False,False,False,,True,False,False,True,False,False,,False,,Jeff Heehs,2010-07-20 13:30:55,2010-07-14 00:00:00,40.6691351,-73.9895844
